"Hedge cue","TP","FN","FP","Total","%FN","Total errores","in_tc_as_hc","in_tc","in_tc_no_hc","total"
"or",3,12,0,15,"0,8",12,92,928,836,928
"could",2,8,0,10,"0,8",8,39,128,89,128
"either",0,5,0,5,1,5,20,143,123,143
"can",1,5,0,6,"0,833333333333333",5,37,356,319,356
"unknown",0,3,1,4,"0,75",4,11,38,27,38
"potential",4,3,3,10,"0,3",6,25,114,89,114
"and\/or",0,2,0,2,1,2,6,37,31,37
"not",0,2,0,2,1,2,4,970,966,970
"not clear",0,2,0,2,1,2,2,4,2,4
"considered",0,2,0,2,1,2,1,11,10,11
"if",1,2,0,3,"0,666666666666667",2,10,37,27,37
"potentially",1,2,0,3,"0,666666666666667",2,10,17,7,17
"apparently",1,2,0,3,"0,666666666666667",2,2,14,12,14
"putative",5,2,2,9,"0,222222222222222",4,27,48,21,48
"possibility",0,1,0,1,1,1,5,18,13,18
"not known",0,1,0,1,1,1,3,6,3,6
"whether or not",0,1,0,1,1,1,2,3,1,3
"unlikely",0,1,0,1,1,1,1,2,1,2
"hypothesize",0,1,0,1,1,1,1,9,8,9
"elucidated",0,1,0,1,1,1,1,5,4,5
"suspected",0,1,0,1,1,1,1,2,1,2
"supported",0,1,0,1,1,1,0,6,6,6
"Potential",0,1,0,1,1,1,0,0,0,0
"advance the hypothesis",0,1,0,1,1,1,0,1,1,1
"infer",0,1,0,1,1,1,0,3,3,3
"can be deduced",0,1,0,1,1,1,0,1,1,1
"hypothetically",0,1,0,1,1,1,0,1,1,1
"no proof",0,1,0,1,1,1,0,2,2,2
"think",0,1,0,1,1,1,0,1,1,1
"indication",0,1,0,1,1,1,0,1,1,1
"no evidence of",0,1,0,1,1,1,0,1,1,1
"no evidence",0,1,0,1,1,1,0,4,4,4
"expect",0,1,0,1,1,1,0,10,10,10
"perhaps",1,1,0,2,"0,5",1,5,7,2,7
"indicate",0,1,1,2,"0,5",2,3,199,196,199
"possibly",2,1,0,3,"0,333333333333333",1,16,19,3,19
"hypothesis",0,1,2,3,"0,333333333333333",3,10,19,9,19
"believed",2,1,0,3,"0,333333333333333",1,5,10,5,10
"indicating",2,1,2,5,"0,2",3,8,63,55,63
"may",78,0,0,78,0,0,336,415,79,415
"suggest",45,0,1,46,0,1,213,487,274,487
"indicate that",22,0,0,22,0,0,96,120,24,120
"suggesting",23,0,0,23,0,0,88,111,23,111
"appears",12,0,0,12,0,0,59,86,27,86
"whether",14,0,0,14,0,0,56,74,18,74
"suggested",13,0,0,13,0,0,45,59,14,59
"might",10,0,0,10,0,0,43,54,11,54
"suggests",13,0,0,13,0,0,41,54,13,54
"likely",13,0,0,13,0,0,37,50,13,50
"indicating that",9,0,0,9,0,0,35,44,9,44
"indicated that",11,0,0,11,0,0,28,41,13,41
"possible",6,0,0,6,0,0,28,38,10,38
"propose",1,0,0,1,0,0,24,39,15,39
"thought",5,0,1,6,0,1,22,30,8,30
"appeared",2,0,3,5,0,3,18,29,11,29
"seems",2,0,0,2,0,0,17,20,3,20
"indicates that",2,0,0,2,0,0,14,16,2,16
"should",2,0,0,2,0,0,12,14,2,14
"probably",2,0,0,2,0,0,12,14,2,14
"imply",1,0,0,1,0,0,9,13,4,13
"unclear",2,0,1,3,0,1,7,12,5,12
"presumably",1,0,0,1,0,0,7,8,1,8
"hypothesized",1,0,1,2,0,1,4,6,2,6
"would",2,0,0,2,0,0,4,10,6,10
"indicates",0,0,1,1,0,1,2,19,17,19
"clear",1,0,0,1,0,0,2,47,45,47
"seemed",1,0,0,1,0,0,2,3,1,3
"implying",1,0,0,1,0,0,2,3,1,3
"appear that",1,0,0,1,0,0,0,0,0,0
"may clear",1,0,0,1,0,0,0,0,0,0
"seems clear",1,0,0,1,0,0,0,0,0,0
