Hedge cue,TP,FN,FP,in_tc_as_hc,in_tc
presumably,1,0,0,7,8
unclear,2,0,1,7,12
appear that,1,0,0,0,0
can,1,5,1,37,356
appeared,2,0,4,18,29
supported,0,1,0,0,6
indicated that,11,0,0,28,41
not clear,0,2,0,2,4
unlikely,1,0,0,1,2
clear,1,0,0,2,47
likely,13,0,0,37,50
Potential,0,1,0,0,0
indicate that,22,0,0,96,120
should,2,0,0,12,14
apparently,1,2,0,2,14
if,2,1,1,10,37
indicating that,9,0,0,35,44
considered,0,2,0,1,11
and\/or,0,2,1,6,37
would,2,0,0,4,10
not known,0,1,0,3,6
perhaps,2,0,0,5,7
suggest,45,0,1,213,487
hypothesize,1,0,0,1,9
seems,2,0,0,17,20
elucidated,0,1,0,1,5
may clear,1,0,0,0,0
indicate,1,0,2,3,199
potential,2,5,2,25,114
potentially,3,0,1,10,17
advance the hypothesis,0,1,0,0,1
whether or not,0,1,0,2,3
suggesting,23,0,0,88,111
seems clear,1,0,0,0,0
seemed,1,0,0,2,3
might,10,0,0,43,54
infer,0,1,0,0,3
indicating,2,1,2,8,63
indicates that,2,0,0,14,16
can be deduced,0,1,0,0,1
putative,6,1,2,27,48
may,78,0,0,336,415
propose,1,0,0,24,39
possible,6,0,0,28,38
possibility,0,1,0,5,18
hypothetically,0,1,0,0,1
possibly,3,0,0,16,19
hypothesis,0,1,2,10,19
probably,2,0,0,12,14
not,1,1,0,4,970
suspected,1,0,0,1,2
appears,12,0,0,59,86
presumed,0,0,1,1,3
suggested,13,0,0,45,59
no proof,0,1,0,0,2
hypothesized,1,0,1,4,6
implying,1,0,0,2,3
whether,14,0,0,56,74
could,3,7,1,39,128
imply,1,0,0,9,13
think,0,1,0,0,1
thought,5,0,1,22,30
suggests,13,0,0,41,54
preferentially,0,0,1,1,29
indication,0,1,0,0,1
either,1,4,0,20,143
unknown,1,2,5,11,38
believed,3,0,0,5,10
no evidence of,0,1,0,0,1
obscure,0,0,2,1,5
no evidence,0,1,0,0,4
or,3,12,0,92,928
expect,0,1,0,0,10
